airlineFsCode,directs,allOntimeCumulative,allStars,delayObservations,ontimePercent,delayStandardDeviation,codeshares,delayMax,arrivalAirportFsCode,delayMin,allDelayCumulative,allDelayStars,allOntimeStars,late45,observations,diverted,ontime,flightNumber,delayMean,late15,cancelled,late30,departureAirportFsCode,req_carrier,req_flightNumber,req_origin,req_dest
NZ,0,0.9332,3.9000001,16,0.88636363,32.971706,0,134,AKL,1,0.61790001,3.0999999,4.6999998,2,44,0,39,29,21,2,0,1,IAH,ANZ,29,IAH,NZAA
UA,0,0.69150001,2.3,12,0.83333331,44.374695,0,131,SFO,0,0.2119,1.1,3.5,3,36,0,30,916,34,2,0,1,AKL,UAL,916,NZAA,SFO
NZ,0,0.1357,1.8,15,0.72972971,12.85746,0,43,AKL,3,0.57929999,2.9000001,0.69999999,0,37,0,27,23,22,5,0,5,YVR,ANZ,23,YVR,NZAA
NZ,0,0,0.94999999,31,0.61403507,26.495241,0,131,AKL,1,0.38209999,1.9,0,5,57,0,35,7,26,14,0,3,SFO,ANZ,7,SFO,NZAA
NZ,0,0,0.2,44,0.48333332,24.856119,0,116,AKL,0,0.080799997,0.40000001,0,11,60,0,29,1,33,7,0,13,LAX,ANZ,1,LAX,NZAA
NZ,0,0,1.55,39,0.53225809,13.82501,0,54,LAX,0,0.61790001,3.0999999,0,4,62,0,33,1,22,17,0,8,LHR,ANZ,1,LAX,NZAA
LA,0,0.9192,2.3,16,0.87096775,113.63375,0,318,AKL,0,0,0,4.5999999,7,62,0,54,800,88,1,0,0,SYD,LAN,800,NZAA,SCEL
LA,0,0.95539999,2.4000001,12,0.88709676,119.25027,0,307,SCL,3,0,0,4.8000002,6,62,0,55,800,114,0,0,1,AKL,LAN,800,NZAA,SCEL
NZ,0,0,0.15000001,44,0.44262296,24.715378,0,96,AKL,0,0.0548,0.30000001,0,12,61,0,27,5,34,12,0,10,LAX,ANZ,5,LAX,NZAA
NZ,0,0.017899999,1,1,0,0,0,35,IAH,35,0.38209999,1.9,0.1,0,1,0,0,28,35,0,0,1,PPT,ANZ,28,NZAA,IAH
NZ,0,0.27430001,2.3499999,28,0.76744187,37.031231,0,181,IAH,1,0.65539998,3.3,1.4,2,43,0,33,28,21,8,0,0,AKL,ANZ,28,NZAA,IAH
NZ,0,0,0.44999999,37,0.62295079,34.403934,0,170,LAX,1,0.1841,0.89999998,0,8,61,0,38,6,30,13,0,2,AKL,ANZ,6,NZAA,LAX
UA,0,0.1151,1.35,19,0.72222221,26.425997,0,108,AKL,2,0.42070001,2.0999999,0.60000002,4,36,0,26,917,26,5,0,1,SFO,UAL,917,SFO,NZAA
AA,0,0.096799999,0.25,28,0.73214287,132.13722,0,709,AKL,0,0,0,0.5,8,56,0,41,83,52,3,0,4,LAX,AAL,83,LAX,NZAA
